Accuracy,Sensitivity,Specificity,MCC,Distance,Averaging,Dataset,Number of Classes,Aggregation,Gamma,Cost,Tool,Indep. Accuracy,Indep. Sensitivity,Indep. Specificity,Indep. MCC
0.7374,0.7465,0.7322,0.46,0,,,,,,,ref,,,,
0.8733725,0.3991825,0.8802275,0.3,0.4320070686,Macro,balanced,8,unweighted average,list tbd,list tbd,SVMLight,0.855835,0.401385,0.8792975,0.31
0.87338,0.6493,0.90536,0.49,0.2425340924,Micro,balanced,8,unweighted average,list tbd,list tbd,SVMLight,0.85582,0.58444,0.8946,0.42
0.85859,0.341665,0.93246,0.28,0.5010812917,Macro,down sampled,8,unweighted average,list tbd,list tbd,SVMLight,0.86875,0.375,0.93928,0.34
0.85862,0.34168,0.93244,0.3,0.4942363588,Micro,down sampled,8,unweighted average,list tbd,list tbd,SVMLight,0.86874,0.375,0.9393,0.34
0.870205,0.3881375,0.877175,0.28,0.4466302722,Macro,shuffled,8,unweighted average,list tbd,list tbd,SVMLight,0.8558325,0.4015275,0.88018,0.31
0.8702,0.63986,0.9031,0.48,0.2421048112,Micro,shuffled,8,unweighted average,list tbd,list tbd,SVMLight,0.85586,0.57776,0.89558,0.42
0.7820625,0.65184,0.7442625,0.29,0.200001896,Macro,balanced,8,balanced average,list tbd,list tbd,SVMLight,0.7632,0.6319425,0.7426025,0.29
0.78204,0.81522,0.77732,0.42,0.1017397779,Micro,balanced,8,balanced average,list tbd,list tbd,SVMLight,0.7632,0.76222,0.76334,0.37
0.697125,0.7145875,0.6946475,0.28,0.1909205948,Macro,down sampled,8,balanced average,list tbd,list tbd,SVMLight,0.7096875,0.7725,0.7007125,0.32
0.69712,0.71458,0.69466,0.28,0.1909204452,Micro,down sampled,8,balanced average,list tbd,list tbd,SVMLight,0.70968,0.7725,0.7007,0.32
0.780075,0.6288625,0.7452575,0.27,0.2278820645,Macro,shuffled,8,balanced average,list tbd,list tbd,SVMLight,0.76236,0.6405525,0.7401075,0.29
0.78006,0.79564,0.77784,0.41,0.09390220871,Micro,shuffled,8,balanced average,list tbd,list tbd,SVMLight,0.76236,0.7711,0.7611,0.38
0.889125,0.298745,0.9165225,0.26,0.5454170878,Macro,balanced,8,maximum probability,list tbd,list tbd,SVMLight,0.8663925,0.283055,0.9108425,0.22
0.88912,0.55652,0.93662,0.49,0.3190593913,Micro,balanced,8,maximum probability,list tbd,list tbd,SVMLight,0.8664,0.46556,0.92364,0.38
0.84844,0.3937525,0.9134125,0.29,0.4455318737,Macro,down sampled,8,maximum probability,list tbd,list tbd,SVMLight,0.855625,0.4225,0.9175025,0.34
0.84846,0.39374,0.91338,0.3,0.4418145919,Micro,down sampled,8,maximum probability,list tbd,list tbd,SVMLight,0.85562,0.4225,0.9175,0.34
0.8844225,0.278565,0.9128875,0.23,0.5710750847,Macro,shuffled,8,maximum probability,list tbd,list tbd,SVMLight,0.8652825,0.281945,0.9100975,0.23
0.88442,0.53768,0.93396,0.47,0.3256190572,Micro,shuffled,8,maximum probability,list tbd,list tbd,SVMLight,0.86526,0.46112,0.923,0.38
0.862225,0.347895,0.8671,0.25,0.486585282,Macro,balanced,8,unweighted average,value tbd,value tbd,SVMLight,0.8414,0.362495,0.8639525,0.24
0.86222,0.63408,0.89482,0.46,0.2338023807,Micro,balanced,8,unweighted average,value tbd,value tbd,SVMLight,0.84142,0.56334,0.88112,0.38
0.85026,0.40833,0.9134025,0.3,0.4307327182,Macro,down sampled,8,unweighted average,value tbd,value tbd,SVMLight,0.85875,0.3925,0.92536,0.3
0.85026,0.40834,0.9134,0.32,0.423701552,Micro,down sampled,8,unweighted average,value tbd,value tbd,SVMLight,0.85874,0.3925,0.92534,0.33
0.862405,0.33577,0.868905,0.23,0.5058790764,Macro,shuffled,8,unweighted average,value tbd,value tbd,SVMLight,0.8400075,0.35347,0.8638875,0.23
0.86242,0.62462,0.8964,0.46,0.2396797338,Micro,shuffled,8,unweighted average,value tbd,value tbd,SVMLight,0.84,0.55334,0.88098,0.37
0.7881325,0.5933125,0.751695,0.28,0.2425288678,Macro,balanced,8,balanced average,value tbd,value tbd,SVMLight,0.7673675,0.6183325,0.746295,0.31
0.78812,0.79348,0.78738,0.42,0.0970797157,Micro,balanced,8,balanced average,value tbd,value tbd,SVMLight,0.76736,0.75558,0.76906,0.37
0.68437,0.691665,0.6833375,0.25,0.2287063664,Macro,down sampled,8,balanced average,value tbd,value tbd,SVMLight,0.688125,0.815,0.67,0.32
0.68438,0.69166,0.68334,0.25,0.2287047127,Micro,down sampled,8,balanced average,value tbd,value tbd,SVMLight,0.68814,0.815,0.67002,0.32
0.7776325,0.60795,0.7394425,0.26,0.2467128095,Macro,shuffled,8,balanced average,value tbd,value tbd,SVMLight,0.759865,0.6616675,0.732765,0.32
0.77764,0.7942,0.77526,0.41,0.09082241574,Micro,shuffled,8,balanced average,value tbd,value tbd,SVMLight,0.75988,0.78886,0.7557,0.38
0.885135,0.259335,0.91354,0.22,0.591303275,Macro,balanced,8,maximum probability,value tbd,value tbd,SVMLight,0.8605575,0.2393025,0.907685,0.16
0.88514,0.54056,0.93436,0.47,0.3243563731,Micro,balanced,8,maximum probability,value tbd,value tbd,SVMLight,0.86056,0.4422,0.9203,0.36
0.84792,0.3916725,0.913105,0.28,0.4508257359,Macro,down sampled,8,maximum probability,value tbd,value tbd,SVMLight,0.86375,0.455,0.9221375,0.34
0.84792,0.39168,0.91308,0.3,0.4432036521,Micro,down sampled,8,maximum probability,value tbd,value tbd,SVMLight,0.86376,0.455,0.92216,0.37
0.883335,0.2493575,0.9122625,0.2,0.6070174573,Macro,shuffled,8,maximum probability,value tbd,value tbd,SVMLight,0.8602775,0.2413875,0.9077575,0.17
0.88332,0.53336,0.93332,0.46,0.32736915,Micro,shuffled,8,maximum probability,value tbd,value tbd,SVMLight,0.86028,0.44112,0.92016,0.36
0.9019925,0.17309,0.96854,0.22,0.6850885452,Macro,balanced,8,unweighted average,list tbd,list tbd,SKlearn Probability,0.8887125,0.15459,0.968845,0.18
0.90222,0.36338,0.97844,0.46,0.4843353223,Micro,balanced,8,unweighted average,list tbd,list tbd,SKlearn Probability,0.88898,0.2852,0.97486,0.36
0.88116,0.11969,0.98987,0.17,0.7510336494,Macro,down sampled,8,unweighted average,list tbd,list tbd,SKlearn Probability,0.8841875,0.1144425,0.99356,0.18
0.88118,0.11902,0.98988,0.23,0.7305496706,Micro,down sampled,8,unweighted average,list tbd,list tbd,SKlearn Probability,0.88416,0.11342,0.99356,0.25
0.9007475,0.171425,0.9665125,0.2,0.6927452699,Macro,shuffled,8,unweighted average,list tbd,list tbd,SKlearn Probability,0.8890725,0.1537425,0.969375,0.17
0.90094,0.36618,0.9768,0.45,0.4809550852,Micro,shuffled,8,unweighted average,list tbd,list tbd,SKlearn Probability,0.88936,0.28504,0.97504,0.36
0.7722775,0.589245,0.73286,0.27,0.2490903664,Macro,balanced,8,balanced average,list tbd,list tbd,SKlearn Probability,0.736805,0.53306,0.716815,0.23
0.7723,0.79926,0.76842,0.4,0.0944114188,Micro,balanced,8,balanced average,list tbd,list tbd,SKlearn Probability,0.73682,0.70666,0.7411,0.31
0.674485,0.693745,0.67172,0.26,0.2244977008,Macro,down sampled,8,balanced average,list tbd,list tbd,SKlearn Probability,0.6834375,0.76,0.6725,0.3
0.6745,0.69374,0.67172,0.25,0.2334477629,Micro,down sampled,8,balanced average,list tbd,list tbd,SKlearn Probability,0.68344,0.76,0.6725,0.29
0.773095,0.56706,0.736075,0.26,0.2710864479,Macro,shuffled,8,balanced average,list tbd,list tbd,SKlearn Probability,0.7470925,0.54986,0.727675,0.26
0.7731,0.78404,0.77152,0.4,0.08848617971,Micro,shuffled,8,balanced average,list tbd,list tbd,SKlearn Probability,0.74706,0.71666,0.75142,0.33
0.893295,0.36121,0.919485,0.34,0.4714099133,Macro,balanced,8,maximum probability,list tbd,list tbd,SKlearn Probability,0.8649975,0.303475,0.90939,0.25
0.8933,0.57318,0.93902,0.51,0.3156250066,Micro,balanced,8,maximum probability,list tbd,list tbd,SKlearn Probability,0.86502,0.46,0.92286,0.38
0.8479225,0.3916625,0.9131175,0.29,0.4469407301,Macro,down sampled,8,maximum probability,list tbd,list tbd,SKlearn Probability,0.84625,0.385,0.91213,0.28
0.84794,0.39166,0.9131,0.3,0.4432328138,Micro,down sampled,8,maximum probability,list tbd,list tbd,SKlearn Probability,0.84628,0.385,0.91214,0.29
