'charged', 'aliphatic', 'aromatic', 'polar', 'neutral', 'hydrophobic', 'positively_charged', 'negatively_charged', 'tiny', 'small', 'large',Label
22.381, 22.857, 8.413, 28.889, 40.476, 30.635, 10.0, 12.381, 38.889, 50.476, 10.635,amino
13.542, 27.083, 13.75, 20.208, 39.167, 40.625, 7.917, 5.625, 35.625, 49.167, 15.208,amino
18.641, 23.697, 14.218, 23.697, 40.284, 36.019, 10.111, 8.531, 36.651, 47.393, 15.956,amino
17.774, 27.409, 9.801, 22.924, 38.704, 38.372, 9.967, 7.807, 38.04, 48.837, 13.123,amino
12.936, 30.39, 13.142, 17.864, 39.425, 42.71, 6.982, 5.955, 31.417, 52.772, 15.811,amino
18.75, 25.164, 15.789, 23.355, 38.487, 38.158, 10.855, 7.895, 33.388, 48.026, 18.586,amino
12.982, 28.6, 14.604, 18.053, 39.757, 42.191, 7.911, 5.071, 34.483, 48.682, 16.836,amino
15.993, 27.417, 11.775, 22.496, 35.852, 41.652, 8.963, 7.03, 33.568, 52.548, 13.884,amino
14.634, 26.655, 15.157, 22.648, 38.328, 39.024, 7.84, 6.794, 33.449, 50.0, 16.551,amino
16.944, 21.595, 11.628, 23.92, 40.864, 35.216, 10.631, 6.312, 38.206, 46.512, 15.282,amino
16.41, 23.248, 13.846, 22.906, 40.513, 36.581, 8.034, 8.376, 37.436, 45.812, 16.752,amino
16.082, 30.309, 12.371, 21.443, 35.052, 43.505, 8.66, 7.423, 32.99, 54.021, 12.99,amino
17.469, 25.86, 14.718, 22.146, 37.964, 39.89, 9.078, 8.391, 31.774, 52.132, 16.094,amino
24.818, 20.292, 14.599, 32.555, 35.62, 31.825, 12.555, 12.263, 32.263, 51.095, 16.642,amino
13.318, 29.345, 14.673, 17.156, 38.375, 44.47, 8.126, 5.192, 34.312, 49.436, 16.253,amino
15.17, 31.337, 12.974, 18.762, 37.525, 43.713, 9.381, 5.788, 30.339, 53.892, 15.768,amino
19.337, 29.466, 8.103, 25.967, 34.07, 39.963, 10.313, 9.024, 30.939, 57.274, 11.786,amino
12.453, 28.113, 13.585, 16.038, 42.075, 41.887, 7.736, 4.717, 33.585, 50.755, 15.66,amino
10.722, 29.691, 13.814, 15.876, 40.619, 43.505, 7.835, 2.887, 34.433, 50.722, 14.845,amino
19.463, 25.336, 15.94, 24.161, 37.416, 38.423, 10.57, 8.893, 32.55, 49.329, 18.121,amino
17.775, 23.844, 12.428, 23.699, 43.064, 33.237, 10.694, 7.081, 35.983, 50.578, 13.439,amino
9.339, 31.891, 11.845, 12.528, 44.419, 43.052, 5.695, 3.645, 39.18, 47.153, 13.667,amino
17.404, 33.333, 10.914, 18.879, 35.103, 46.018, 10.324, 7.08, 30.088, 55.752, 14.159,amino
20.211, 23.68, 13.122, 26.244, 37.557, 36.199, 11.011, 9.201, 34.389, 49.925, 15.686,amino
15.695, 26.009, 17.713, 18.834, 39.91, 41.256, 9.865, 5.83, 31.614, 51.121, 17.265,amino
